id,Analytical thinking,Systemic thinking,Adaptability,Focus
10199,4,4,4,4
10539,4,4,4,5
10174,4,4,5,5
10465,4,4,5,5
10066,4,4,5,5
10425,4,4,5,5
10398,4,4,5,5
10346,4,4,5,4
10281,4,4,5,5
10158,4,4,4,4
10877,4,4,5,5
10067,4,4,5,5
10235,4,3,5,5
10767,4,4,5,4
10483,4,4,3,4
10679,4,4,4,4
10076,4,4,5,5
10800,4,4,5,5
10855,5,4,5,5
10706,4,4,5,5
10088,4,4,5,5
10096,4,4,5,5
10643,4,4,4,4
10305,4,4,4,4
10275,4,4,4,4
10759,4,4,5,5
10355,4,4,4,4
10844,4,4,5,5
10693,4,4,5,5
10882,4,4,4,5
10023,4,4,5,4
10030,4,4,5,5
10677,4,3,5,4
10923,4,4,5,5
10405,4,4,5,5
10531,4,4,5,5
10959,4,4,5,4
10294,4,4,5,5
10829,5,4,5,5
10850,4,4,5,5
10259,4,4,5,4
10874,4,4,4,5
10328,4,4,5,5
10333,4,4,5,5
10634,4,4,5,5
10774,4,4,5,5
10754,4,4,5,5
10120,4,4,5,5
10790,4,4,4,4
10323,4,4,4,4
10728,4,4,5,5
10842,4,4,5,5
10039,4,4,5,5
10789,4,4,4,4
10952,4,4,4,4
10310,4,4,5,5
10314,4,4,4,4
10059,4,4,4,4
10972,4,4,5,5
10494,4,4,5,5
10464,4,4,5,5
10722,5,4,5,4
10673,4,3,5,5
10692,5,4,5,4
10479,4,4,5,5
10680,4,4,5,4
10793,4,4,4,4
10070,4,4,5,5
10136,4,4,5,4
10307,4,4,5,5
10849,4,4,5,5
10714,4,3,5,5
10633,4,4,4,4
10580,4,4,4,4
10481,4,4,4,4
10063,4,4,5,4
10822,4,4,4,5
10359,4,4,5,5
10585,4,3,5,4
10801,4,4,5,5
10299,4,4,5,4
10350,4,4,5,4
10362,4,4,5,5
10237,4,4,4,4
10351,4,4,5,5
10695,4,4,4,4
10672,4,4,5,5
10298,4,4,4,4
10086,4,4,5,5
10913,4,4,4,5
10432,4,4,5,5
10290,4,4,5,5
10107,4,4,4,5
10969,4,4,4,4
10254,5,4,5,5
10215,4,4,5,5
10544,4,4,5,5
10319,4,4,4,5
10525,4,4,5,5
10630,4,4,5,5
10953,4,4,5,5
10749,4,4,4,4
10534,4,4,5,5
10827,4,4,4,4
10798,4,3,5,4
10514,4,4,5,5
10055,4,4,5,5
10497,4,4,5,5
10218,4,4,5,5
10486,4,4,4,4
10072,4,4,5,5
10527,4,4,5,5
10044,4,4,5,5
10261,4,4,5,5
10209,4,4,5,5
10678,4,4,5,5
10493,4,5,5,5
10442,4,4,5,4
10277,4,4,5,5
10423,5,4,5,5
10231,4,4,5,5
10718,4,4,4,4
10947,4,4,5,5
10757,4,4,5,5
10660,4,4,5,5
10655,4,4,5,4
10309,4,4,5,5
10453,4,4,5,5
10703,4,4,5,5
10636,4,4,3,4
10916,4,4,5,4
10213,4,4,4,4
10482,4,4,5,5
10060,4,4,5,5
10687,4,5,5,5
10713,4,4,5,5
10429,4,4,4,4
10139,4,4,5,5
10781,4,4,5,5
10605,4,4,4,4
10280,4,4,5,5
10311,4,4,4,5
10615,4,4,4,4
10450,4,4,5,5
10110,4,4,5,5
10622,4,4,5,5
10456,4,3,5,5
10316,4,4,5,5
10891,4,4,5,5
10868,4,4,5,5
10198,4,4,4,4
10377,4,4,5,5
10638,4,4,4,4
10617,4,4,5,5
10559,4,4,5,4
10669,4,4,5,5
10137,4,3,5,4
10332,4,4,5,5
10394,4,4,5,4
10184,4,4,5,5
10881,4,4,5,5
10449,4,4,4,4
10788,5,4,4,5
10168,4,4,5,5
10951,5,4,4,4
10382,4,4,5,4
10696,4,4,5,5
10078,4,5,5,5
10029,4,3,5,4
10260,4,4,5,5
10331,4,4,5,4
10859,4,4,4,5
10626,4,4,4,4
10165,4,4,4,4
10731,4,3,4,4
10898,4,4,5,5
10065,4,4,5,5
10141,4,4,4,4
10210,4,4,4,4
10746,4,4,5,5
10292,4,4,5,5
10847,4,4,5,5
10266,4,4,5,4
10371,4,4,5,5
10810,4,4,5,5
10581,4,4,5,5
10900,4,4,5,4
10049,5,4,4,4
10708,4,4,5,5
10904,4,4,4,4
10490,4,4,5,5
10327,4,4,5,5
10879,4,4,5,5
10521,4,4,5,5
10925,4,4,4,4
10968,4,4,4,5
10365,4,4,5,5
10936,4,4,4,4
10033,4,4,5,5
10031,4,4,4,5
10823,4,4,5,5
10192,4,4,5,5
10312,4,4,5,4
10807,4,3,5,5
10552,4,4,5,5
10558,4,4,5,4
10921,4,4,4,4
10109,4,4,5,4
10440,4,4,5,5
10077,4,4,5,5
10783,4,4,4,4
10542,4,4,4,5
10082,4,4,5,5
10361,5,4,5,4
10485,4,4,4,4
10507,4,4,5,5
10628,4,4,5,5
10500,4,4,5,4
10905,4,4,5,5
10002,4,4,5,5
10101,4,4,4,4
10363,4,4,5,5
10451,4,4,4,5
10286,4,4,4,4
10208,4,3,5,4
10265,4,4,5,4
10005,4,4,5,5
10054,4,4,5,5
10715,4,4,5,5
10848,4,4,4,4
10971,4,4,5,5
10436,4,4,5,5
10097,4,3,5,4
10589,4,4,5,5
10204,4,4,4,4
10244,4,4,5,4
10620,4,4,4,5
10934,4,4,5,5
10519,4,4,4,4
10334,4,4,4,4
10845,4,4,4,4
10025,4,4,4,4
10084,4,4,5,5
10010,4,4,5,5
10635,4,4,5,5
10422,4,4,5,5
10795,4,4,5,5
10357,4,4,5,5
10802,4,4,5,5
10529,5,4,5,5
10468,4,4,5,5
10247,4,4,5,5
10118,4,4,5,5
10342,4,4,5,5
10541,4,4,5,5
10250,4,4,4,4
10318,4,4,4,5
10843,4,4,5,5
10196,4,4,4,5
10588,4,4,4,4
10081,4,4,5,5
10352,4,4,5,5
10583,4,4,5,5
10603,4,4,5,5
10239,4,4,5,5
10761,4,4,5,5
10211,4,4,5,5
10930,4,4,5,5
10963,4,3,5,4
10420,4,3,4,4
10227,4,4,5,5
10833,4,4,4,4
10752,4,4,5,5
10907,4,4,5,5
10743,4,4,4,4
10380,4,4,5,5
10478,4,4,5,4
10439,4,4,5,5
10296,4,4,5,5
10344,4,4,5,5
10007,4,4,4,5
10155,4,4,5,4
10526,4,4,4,4
10411,4,3,5,4
10513,5,4,5,4
10837,4,4,5,5
10758,4,5,5,5
10551,4,4,4,4
10433,4,4,4,4
10893,4,4,5,5
10909,4,4,5,4
10889,4,4,4,4
10613,4,4,4,5
